Potential (V)	Current (A)	Elapsed Time (s)	Frequency (Hz)	Zre (ohms)	Zim (ohms)	|Vac| (V)	|Iac| (A)	
3.49473190307617	0.149931594729424	3920	0	0	0	0	0	
3.49442505836487	0.149931594729424	3930	0	0	0	0	0	
3.49442505836487	0.149939298629761	3940	0	0	0	0	0	
3.49473190307617	0.149931594729424	3950	0	0	0	0	0	
3.49503898620605	0.149931594729424	3960	0	0	0	0	0	
3.49503898620605	0.149939298629761	3970	0	0	0	0	0	
3.49503898620605	0.149939298629761	3980	0	0	0	0	0	
3.49534702301025	0.149939298629761	3990	0	0	0	0	0	
3.49534702301025	0.149939298629761	4000	0	0	0	0	0	
3.49596095085144	0.14994689822197	4010	0	0	0	0	0	
3.49626898765564	0.149954602122307	4020	0	0	0	0	0	
3.49626898765564	0.149931594729424	4030	0	0	0	0	0	
3.49596095085144	0.149931594729424	4040	0	0	0	0	0	
3.49657607078552	0.149939298629761	4050	0	0	0	0	0	
3.49626898765564	0.149931594729424	4060	0	0	0	0	0	
3.49657607078552	0.14994689822197	4070	0	0	0	0	0	
3.49688291549683	0.149931594729424	4080	0	0	0	0	0	
3.49719095230103	0.149939298629761	4090	0	0	0	0	0	
3.49780511856079	0.149931594729424	4100	0	0	0	0	0	
3.49719095230103	0.149939298629761	4110	0	0	0	0	0	
3.49749803543091	0.149931594729424	4120	0	0	0	0	0	
3.49780511856079	0.149939298629761	4130	0	0	0	0	0	
3.49811291694641	0.149939298629761	4140	0	0	0	0	0	
3.49842000007629	0.149939298629761	4150	0	0	0	0	0	
3.49842000007629	0.14994689822197	4160	0	0	0	0	0	
3.49811291694641	0.14994689822197	4170	0	0	0	0	0	
3.49780511856079	0.149962306022644	4180	0	0	0	0	0	
3.49842000007629	0.149923905730248	4190	0	0	0	0	0	
3.49903392791748	0.149939298629761	4200	0	0	0	0	0	
3.49842000007629	0.149939298629761	4210	0	0	0	0	0	
3.49903392791748	0.14994689822197	4220	0	0	0	0	0	
3.49934196472168	0.14994689822197	4230	0	0	0	0	0	
3.49934196472168	0.149923905730248	4240	0	0	0	0	0	
3.49934196472168	0.149931594729424	4250	0	0	0	0	0	
3.49964904785156	0.149939298629761	4260	0	0	0	0	0	
3.49964904785156	0.149931594729424	4270	0	0	0	0	0	
3.49995589256287	0.149931594729424	4280	0	0	0	0	0	
3.50057101249695	0.149931594729424	4290	0	0	0	0	0	
3.50090909004211	0.167588204145432	4300	0	0	0	0	0	
3.50121593475342	0.164820998907089	4310	0	0	0	0	0	
3.50121593475342	0.159363299608231	4320	0	0	0	0	0	
3.50121593475342	0.154828101396561	4330	0	0	0	0	0	
3.50090909004211	0.154905006289482	4340	0	0	0	0	0	
3.50121593475342	0.146065101027489	4350	0	0	0	0	0	
3.50121593475342	0.144220292568207	4360	0	0	0	0	0	
3.50121593475342	0.141145497560501	4370	0	0	0	0	0	
3.50121593475342	0.145834505558014	4380	0	0	0	0	0	
3.50121593475342	0.137763306498528	4390	0	0	0	0	0	
3.50121593475342	0.137379005551338	4400	0	0	0	0	0	
3.50060200691223	0.135841593146324	4410	0	0	0	0	0	
3.50090909004211	0.133535593748093	4420	0	0	0	0	0	
3.50090909004211	0.128231704235077	4430	0	0	0	0	0	
3.50090909004211	0.128231704235077	4440	0	0	0	0	0	
3.50090909004211	0.125003203749657	4450	0	0	0	0	0	
3.50090909004211	0.125771895051003	4460	0	0	0	0	0	
3.50090909004211	0.121697902679443	4470	0	0	0	0	0	
3.50090909004211	0.119622401893139	4480	0	0	0	0	0	
3.50060200691223	0.120621703565121	4490	0	0	0	0	0	
3.50121593475342	0.1173932030797	4500	0	0	0	0	0	
3.50121593475342	0.114625997841358	4510	0	0	0	0	0	
